Timestamp;Test mode;Model;Process_time(s);Accuracy (%);Num Epochs
2025-07-24/16:10:28;zero;gemma3_1b_trained_60;69.8940227000021;94.12;7.0
2025-07-24/16:12:05;zero;gemma3_1b_trained_60;69.31010099999912;94.12;7.0
2025-07-24/16:13:38;zero;gemma3_1b_trained_60;69.90153759999885;94.12;7.0
2025-07-24/16:15:34;zero;gemma3_1b_trained_60;70.25091570000222;94.12;7.0
2025-07-24/16:17:52;zero;gemma3_1b;53.55582140000115;89.22;
2025-07-24/16:19:15;zero;gemma3_1b;53.27265709999847;89.22;
2025-07-24/16:20:30;zero;gemma3_1b;53.310160000000906;89.22;
2025-07-24/16:23:46;zero;gemma3_1b_trained_60;70.01051790000201;94.12;7.0
2025-07-24/16:25:18;zero;gemma3_1b_trained_60;71.43857019999996;94.12;7.0
2025-07-24/16:26:49;zero;gemma3_1b_trained_60;70.24222930000178;94.12;7.0
2025-07-24/16:28:19;zero;gemma3_1b_trained_60;69.83115679999901;94.12;7.0
2025-07-24/16:29:50;zero;gemma3_1b_trained_60;71.0137192000002;94.12;7.0
2025-07-24/16:31:22;zero;gemma3_1b_trained_60;70.94876120000117;94.12;7.0
2025-07-24/16:32:53;zero;gemma3_1b_trained_60;70.7553336000019;94.12;7.0
2025-07-24/16:34:06;zero;gemma3_1b;53.34885439999925;89.22;
2025-07-24/16:35:19;zero;gemma3_1b;53.44367670000065;89.22;
2025-07-24/16:36:32;zero;gemma3_1b;53.29519730000175;89.22;
2025-07-24/16:37:45;zero;gemma3_1b;53.37353869999788;89.22;
2025-07-24/16:38:59;zero;gemma3_1b;53.56410930000129;89.22;
2025-07-24/16:40:12;zero;gemma3_1b;53.41734190000352;89.22;
2025-07-24/16:41:25;zero;gemma3_1b;53.83282949999921;89.22;
2025-07-24/16:44:29;zero;gemma3_1b;54.29847090000112;89.22;
2025-07-24/16:46:01;zero;gemma3_1b_trained_60;70.78317550000065;94.12;7.0
2025-07-24/16:47:32;zero;gemma3_1b_trained_180;71.00630319999982;94.12;5.0
2025-07-24/16:49:06;zero;gemma3_1b_trained_240;73.51115339999888;94.12;4.0
2025-07-24/16:50:38;zero;gemma3_1b_trained_300;71.51732620000257;97.06;4.0
2025-07-24/16:52:10;zero;gemma3_1b_trained_360;72.0263890999995;94.12;4.0
2025-07-24/16:53:42;zero;gemma2;56.35653029999958;91.18;
